County,FName,LName,Phone
Adams,Rick,Reigenborn,(303) 655-3216
Alamosa,Robert,Jackson,(719) 589-6608
Arapahoe,Tyler,Brown,(303) 435-3366
Archuleta,Richard,Valdez,(970) 264-8433
Baca,Aaron,Shiplett,(719) 523-4511
Bent,Jake,Six,(719) 456-0796
Boulder,Joseph,Pelle,(303) 441-4605
Broomfield,Gary,Creager,(303) 438-6440
Chaffee,John,Spezze,(719) 539-2596
Cheyenne,Jeff,Miller,(719) 767-5633
Clear Creek,Rick,Albers,(303) 679-2380
Conejos,Garth,Crowther,(719) 376-2196
Costilla,Danny,Sanchez,(719) 672-3302
Crowley,John,Kurtz,(719) 267-5555
Custer,Shannon,Byerly,(719) 783-2270
Delta,Mark,Taylor,(970) 874-2000
Denver,Elias,Diggins,(720) 337-0095
Dolores,Don,Wilson,(970) 677-2257
Douglas,Tony,Spurlock,(303) 660-7584
Eagle,James,Van Beek,(970) 328-8509
El Paso,Bill,Elder,(719) 520-7204
Elbert,Tim,Norton,(303) 805-6105
Fremont,Allen,Cooper,(719) 276-5555
Garfield,Lou,Vallario,(970) 945-0453
Gilpin,Kevin,Armstrong,(303) 582-1060
Grand,Brett,Schroetlin,(970) 725-3343
Gunnison,John,Gallowich,(970) 641-1113
Hinsdale,Christopher,Kambish,(970) 944-2291
Huerfano,Bruce,Newman,(719) 738-1600
Jackson,Jarod,Poley,(970) 723-4242
Jefferson,Jeff,Shrader,(303) 271-5305
Kiowa,Casey,Sheridan,(719) 438-5411
Kit Carson,Tom,Ridnour,(719) 346-8934
La Plata,Sean,Smith,(970) 247-1157
Lake,Amy,Reyes,(719) 486-1249
Larimer,Justin,Smith,(970) 498-5106
Las Animas,Derek,Navarette,(719) 846-2211
Lincoln,Tom,Nestor,(719) 743-2426
Logan,Brett,Powell,(970) 522-2578
Mesa,Matt,Lewis,(970) 244-3921
Mineral,Fred,Hosselkus,(719) 658-2600
Moffat,KC,Hume,(970) 824-4495
Montezuma,Steve,Nowlin,(970) 565-8452
Montrose,Gene,Lillard,(970) 249-6606
Morgan,Dave,Martin,(970) 867-2461
Otero,Shawn,Mobley,(719) 384-5941
Ouray,Justin,Perry,(970) 325-7272
Park,Tom,McGraw,(719) 836-4101
Phillips,Tom,Elliott,(970) 854-3644
Pitkin,Joe,Disalvo,(970) 920-5300
Prowers,Sam,Zordel,(719) 336-8050
Pueblo,Kirk,Taylor,(719) 583-6125
Rio Blanco,Anthony,Mazzola,(970) 878-9620
Rio Grande,Donald,McDonald,(719) 657-4000
Routt,Garrett,Wiggins,(970) 870-5501
Saguache,Dan,Warwick,(719) 655-2544
San Juan,Bruce,Conrad,(970) 387-5531
San Miguel,William,Masters,(970) 728-4442
Sedgwick,Carlton,Britton,(970) 474-3355
Summit,Jaime,Fitzsimmons,(970) 453-2232
Teller,Jason,Mikesell,(719) 325-6288
Washington,Jon,Stivers,(970) 345-2244
Weld,Steve,Reams,(970) 356-4015
Yuma,TC,Combs,(970) 332-4805
